ticker,open_time,close_time,open_price,close_price,outcome($),duration(minutes),side,closing_reason
EURUSD,1547452500,1547454000,1.14775,1.1465,-1.37,25.0,BUY,signal_opposite
EURUSD,1547454000,1547462700,1.1465,1.1462,0.18,145.0,SELL,signal_opposite
EURUSD,1547462700,1547466840,1.1462,1.14579,-0.53,69.0,BUY,signal_opposite
EURUSD,1547466840,1547481300,1.14579,1.14771,-2.04,241.0,SELL,signal_opposite
EURUSD,1547481300,1547490660,1.14771,1.14697,-0.86,156.0,BUY,signal_opposite
EURUSD,1547490660,1547499480,1.14697,1.14689,-0.04,147.0,SELL,signal_opposite
EURUSD,1547499480,1547519280,1.14689,1.14835,1.29,330.0,BUY,signal_opposite
EURUSD,1547519280,1547531880,1.14835,1.14822,0.01,210.0,SELL,signal_opposite
EURUSD,1547531880,1547533980,1.14822,1.14742,-0.92,35.0,BUY,signal_opposite
EURUSD,1547533980,1547536560,1.14742,1.14813,-0.83,43.0,SELL,signal_opposite
EURUSD,1547536560,1547539920,1.14813,1.14579,-2.46,56.0,BUY,signal_opposite
EURUSD,1547539920,1547559420,1.14579,1.14344,2.23,325.0,SELL,signal_opposite
EURUSD,1547559420,1547566020,1.14344,1.14314,-0.42,110.0,BUY,signal_opposite
EURUSD,1547566020,1547579280,1.14314,1.13935,3.67,221.0,SELL,signal_opposite
EURUSD,1547579280,1547591100,1.13935,1.14071,1.24,197.0,BUY,signal_opposite
EURUSD,1547591100,1547593260,1.14071,1.14098,-0.39,36.0,SELL,signal_opposite
EURUSD,1547593260,1547597040,1.14098,1.14054,-0.61,63.0,BUY,signal_opposite
EURUSD,1547597040,1547610780,1.14054,1.14036,0.06,229.0,SELL,signal_opposite
EURUSD,1547610780,1547620620,1.14036,1.14038,-0.1,164.0,BUY,signal_opposite
EURUSD,1547620620,1547629080,1.14038,1.14186,-1.6,141.0,SELL,signal_opposite
EURUSD,1547629080,1547632320,1.14186,1.141,-0.98,54.0,BUY,signal_opposite
EURUSD,1547632320,1547642460,1.141,1.1393,1.58,169.0,SELL,signal_opposite
EURUSD,1547642460,1547654100,1.1393,1.13937,-0.05,194.0,BUY,signal_opposite
EURUSD,1547654100,1547657340,1.13937,1.14086,-1.61,54.0,SELL,signal_opposite
EURUSD,1547657340,1547668680,1.14086,1.13973,-1.25,189.0,BUY,signal_opposite
EURUSD,1547668680,1547679720,1.13973,1.13973,-0.12,184.0,SELL,signal_opposite
EURUSD,1547679720,1547692560,1.13973,1.13915,-0.75,214.0,BUY,signal_opposite
EURUSD,1547692560,1547704200,1.13915,1.13855,0.48,194.0,SELL,signal_opposite
EURUSD,1547704200,1547709060,1.13855,1.1377,-0.97,81.0,BUY,signal_opposite
EURUSD,1547709060,1547712120,1.1377,1.1389,-1.32,51.0,SELL,signal_opposite
EURUSD,1547712120,1547718960,1.1389,1.13921,0.19,114.0,BUY,signal_opposite
EURUSD,1547718960,1547721420,1.13921,1.13987,-0.78,41.0,SELL,signal_opposite
EURUSD,1547721420,1547730900,1.13987,1.13942,-0.57,158.0,BUY,signal_opposite
EURUSD,1547730900,1547742120,1.13942,1.13894,0.36,187.0,SELL,signal_opposite
EURUSD,1547742120,1547749800,1.13894,1.13843,-0.63,128.0,BUY,signal_opposite
EURUSD,1547749800,1547754000,1.13843,1.13914,-0.83,70.0,SELL,signal_opposite
EURUSD,1547754000,1547761200,1.13914,1.13878,-0.48,120.0,BUY,signal_opposite
EURUSD,1547761200,1547762520,1.13878,1.13912,-0.46,22.0,SELL,signal_opposite
EURUSD,1547762520,1547764140,1.13912,1.13859,-0.65,27.0,BUY,signal_opposite
EURUSD,1547764140,1547767500,1.13859,1.13908,-0.61,56.0,SELL,signal_opposite
EURUSD,1547767500,1547779500,1.13908,1.13913,-0.12,200.0,BUY,signal_opposite
EURUSD,1547779500,1547794020,1.13913,1.1395,-0.49,242.0,SELL,signal_opposite
EURUSD,1547794020,1547812980,1.1395,1.14009,0.47,316.0,BUY,signal_opposite
